股票代码,股票名称,上市日期,发行价,招股价下限,招股价上限,超额认购倍数,一手中签率,每手股数,入场费,保荐人,主承销商,募集资金_亿港元,基石投资者数量,基石认购占比,是否回拨,是否有绿鞋,国际发售占比,公开发售占比,员工股比例,行业,是否同股不同权,是否未盈利,是否生物科技,是否中概回归,注册地,招股起始日期,招股截止日期,暗盘收盘价,暗盘涨跌幅,暗盘最高价,暗盘最低价,暗盘成交额_万港元,暗盘换手率,首日开盘价,首日收盘价,首日涨跌幅,首日最高价,首日最低价,首日成交额_万港元,首日换手率,上市3日涨跌幅,上市7日涨跌幅,上市30日涨跌幅,近1年营收_亿港元,营收增速_%,净利润_亿港元,净利润增速_%,毛利率_%,净利率_%,ROE_%,资产负债率_%,研发费用占比_%,经营现金流_亿港元,管理层持股比例_%,前三大股东持股比例_%,流通股占比_%,限售股6个月解禁_%,限售股12个月解禁_%,招股期间恒指涨跌幅_%,招股期间恒生科技涨跌幅_%,招股期间沪深300涨跌幅_%,招股期间纳斯达克涨跌幅_%,VIX指数,近1个月IPO平均首日涨幅_%,近1个月平均超额认购倍数,美联储利率_%,HIBOR_1个月_%,港元汇率,中美10年期国债利差_%
09633,农夫山泉,2020-09-08,21.50,19.50,21.50,1148.30,12.00,200,4343.43,摩根士丹利、中金,大摩、中金,81.5,2,34.5,1,1,90.0,10.0,0.0,消费,0,0,0,0,开曼群岛,2020-08-26,2020-08-31,39.80,85.12,40.60,36.50,45678.90,25.6,39.80,33.10,53.95,40.00,32.00,67890.12,32.4,75.35,85.21,96.74,240.2,-4.8,52.8,6.6,55.4,22.0,22.4,36.7,0.5,42.6,39.2,82.3,23.5,50.0,25.0,1.87,3.45,2.15,3.78,24.6,35.6,156.8,0.25,0.12,7.75,2.15
09618,京东健康,2020-12-08,70.58,62.80,70.58,421.10,10.00,50,3564.64,美银、海通国际,美银、海通、中金,265.0,5,48.2,1,1,90.0,10.0,0.5,医疗健康,1,0,0,0,开曼群岛,2020-11-26,2020-12-01,110.00,55.85,118.00,105.00,78901.23,18.9,106.50,110.00,55.85,118.00,103.50,123456.78,28.7,67.42,78.56,92.34,107.5,86.3,-172.3,-226.5,25.6,-159.8,4.2,42.3,11.5,-30.8,54.3,74.6,18.7,40.0,30.0,2.67,4.56,1.87,2.34,21.8,42.3,256.7,0.25,0.15,7.75,2.08
09999,网易-S,2020-06-11,123.00,115.00,126.00,24.66,20.00,100,12727.27,摩根士丹利、中金,大摩、中金,211.0,3,32.1,1,1,95.0,5.0,0.0,互联网,1,0,0,1,开曼群岛,2020-06-02,2020-06-05,132.00,7.32,135.00,130.00,45678.90,8.7,128.00,130.10,5.77,135.00,126.50,56789.01,10.3,8.94,12.35,18.76,580.6,24.3,147.6,53.2,55.5,25.4,21.2,37.4,15.6,245.8,26.8,78.2,15.6,60.0,20.0,-0.89,-1.23,-0.45,1.76,26.7,15.2,34.5,0.15,0.08,7.75,1.95
09626,百胜中国,2020-09-10,412.00,393.00,412.00,3.42,100.00,50,20707.07,高盛、摩根士丹利,高盛、大摩,170.4,2,25.8,0,1,95.0,5.0,0.0,消费,1,0,0,1,开曼群岛,2020-08-28,2020-09-02,400.00,-2.91,405.00,395.00,23456.78,5.6,410.00,390.20,-5.29,412.00,386.00,34567.89,8.2,-7.89,-12.45,-18.34,578.2,-5.2,44.2,2.6,16.8,7.6,8.9,42.3,0.3,67.5,35.6,68.7,12.3,55.0,25.0,1.24,2.34,0.78,0.56,25.4,12.3,56.8,0.25,0.11,7.75,2.12
01024,快手-W,2021-02-05,115.00,105.00,115.00,1204.16,1.50,100,11616.16,摩根士丹利、美银,大摩、美银,412.8,6,45.6,1,1,90.0,10.0,1.0,互联网,1,1,0,0,开曼群岛,2021-01-26,2021-01-29,300.00,160.87,325.00,280.00,123456.78,34.5,338.00,300.00,160.87,345.00,300.00,234567.89,42.3,185.23,210.56,156.78,587.8,50.2,-193.5,-245.6,34.2,-32.9,-3.3,48.7,8.9,-167.3,42.8,68.9,20.5,40.0,30.0,3.24,5.67,2.45,3.12,22.3,45.6,356.2,0.15,0.09,7.75,1.87
02618,京东物流,2021-05-28,40.36,39.36,40.36,714.64,3.00,100,4076.77,美银、高盛、海通,美银、高盛、海通,242.0,5,48.9,1,1,90.0,10.0,0.5,物流,1,0,0,0,开曼群岛,2021-05-17,2021-05-21,48.00,18.93,49.80,46.50,89012.34,22.3,46.05,41.90,3.82,49.70,41.20,123456.78,29.4,8.76,-5.43,-12.67,734.2,47.2,-35.6,-40.8,52.4,-4.8,2.1,56.8,2.5,28.7,45.2,72.5,18.9,50.0,25.0,0.87,1.23,0.34,-0.78,18.9,28.7,215.6,0.1,0.07,7.76,1.76
09888,百度集团-SW,2021-03-23,252.00,238.00,252.00,112.35,5.00,50,12727.27,中信证券、高盛,中信、高盛,235.0,4,38.7,1,1,95.0,5.0,0.0,互联网,1,0,0,1,开曼群岛,2021-03-12,2021-03-17,260.00,3.17,265.00,255.00,45678.90,7.8,254.00,251.60,-0.16,259.00,248.00,56789.01,9.6,2.34,-3.45,-8.76,1070.7,12.3,220.5,32.6,48.5,20.6,12.7,45.3,18.2,256.7,32.4,65.8,15.6,60.0,20.0,-1.23,-2.45,-0.89,1.23,21.4,18.9,98.7,0.12,0.08,7.76,1.82
09626,哔哩哔哩-SW,2021-03-29,808.00,752.00,808.00,156.70,3.00,20,16323.23,摩根士丹利、美银、中金,大摩、美银、中金,202.0,3,32.4,1,1,95.0,5.0,0.5,互联网,1,1,0,1,开曼群岛,2021-03-17,2021-03-22,790.00,-2.23,810.00,775.00,45678.90,10.2,790.00,750.00,-7.18,800.00,738.00,67890.12,13.5,-12.45,-23.45,-35.67,119.9,39.0,-30.1,-58.9,24.4,-25.1,-34.6,37.4,16.8,-36.2,38.7,65.3,23.4,40.0,30.0,-0.89,-1.78,-0.56,0.45,22.6,16.7,123.4,0.1,0.07,7.76,1.79
02007,碧桂园服务,2020-06-19,13.60,11.60,13.60,110.40,4.00,1000,13737.37,摩根士丹利、中信建投,大摩、中信建投,98.6,2,28.7,1,1,90.0,10.0,0.0,房地产服务,0,0,0,0,开曼群岛,2020-06-08,2020-06-12,24.00,76.47,25.00,23.20,23456.78,12.3,24.30,23.05,69.49,24.80,22.50,34567.89,16.7,85.23,92.65,112.34,156.0,78.5,26.8,60.5,36.5,17.2,20.4,48.2,1.2,38.5,32.6,72.1,28.7,40.0,35.0,1.56,2.34,1.23,2.45,27.5,23.4,98.6,0.15,0.1,7.75,2.05
09988,阿里巴巴-SW,2019-11-26,176.00,176.00,188.00,42.44,8.00,100,17777.78,中金、瑞士信贷,中金、瑞信,880.0,7,56.8,1,1,95.0,5.0,0.0,互联网,1,0,0,1,开曼群岛,2019-11-15,2019-11-20,186.00,5.68,188.00,182.00,123456.78,6.7,187.00,187.60,6.59,189.00,182.50,156789.01,8.9,8.76,12.34,18.56,3768.4,18.6,802.3,37.1,45.2,21.3,16.8,35.6,11.8,1285.6,34.2,72.4,15.6,65.0,20.0,2.34,3.45,1.67,2.34,15.6,12.8,65.4,0.2,0.15,7.75,2.23
