股票代码,股票名称,上市日期,发行价,招股价下限,招股价上限,超额认购倍数,一手中签率,每手股数,入场费,保荐人,主承销商,募集资金_亿港元,基石投资者数量,基石认购占比,是否回拨,是否有绿鞋,国际发售占比,公开发售占比,员工股比例,行业,是否同股不同权,是否未盈利,是否生物科技,是否中概回归,注册地,招股起始日期,招股截止日期,暗盘收盘价,暗盘涨跌幅,暗盘最高价,暗盘最低价,暗盘成交额_万港元,暗盘换手率,首日开盘价,首日收盘价,首日涨跌幅,首日最高价,首日最低价,首日成交额_万港元,首日换手率,上市3日涨跌幅,上市7日涨跌幅,上市30日涨跌幅,近1年营收_亿港元,营收增速_%,净利润_亿港元,净利润增速_%,毛利率_%,净利率_%,ROE_%,资产负债率_%,研发费用占比_%,经营现金流_亿港元,管理层持股比例_%,前三大股东持股比例_%,流通股占比_%,限售股6个月解禁_%,限售股12个月解禁_%,招股期间恒指涨跌幅_%,招股期间恒生科技涨跌幅_%,招股期间沪深300涨跌幅_%,招股期间纳斯达克涨跌幅_%,VIX指数,近1个月IPO平均首日涨幅_%,近1个月平均超额认购倍数,美联储利率_%,HIBOR_1个月_%,港元汇率,中美10年期国债利差_%
09857,珍酒李渡,2024-01-15,10.82,10.78,12.98,1.37,100.00,200,2186.86,中信建投,中信建投、中金,47.5,3,15.2,0,1,90.0,10.0,0.0,消费,0,0,0,0,开曼群岛,2024-01-03,2024-01-08,10.50,-2.96,10.90,10.35,8956.23,6.2,10.82,10.80,-0.18,10.90,10.62,12345.67,8.5,-2.31,-5.73,-12.38,58.2,18.5,10.2,12.3,78.5,17.5,12.8,42.6,2.3,8.7,45.2,68.9,25.6,45.0,30.0,-0.32,-1.25,0.45,0.85,13.2,12.5,2.3,5.25,4.2,7.80,1.25
02418,货拉拉,2024-03-05,35.90,33.80,39.80,2.15,100.00,100,3626.26,高盛、摩根士丹利,高盛、摩根士丹利、美银,58.3,4,22.7,0,1,90.0,10.0,0.0,物流,1,0,0,0,开曼群岛,2024-02-20,2024-02-26,35.20,-1.95,36.50,34.80,15678.34,7.8,35.90,36.15,0.70,36.80,35.00,34567.89,12.3,1.25,-3.48,-8.76,102.5,27.8,-15.6,-8.7,48.2,-15.2,2.3,65.8,8.5,-12.3,28.7,72.1,18.9,40.0,35.0,1.25,2.34,0.89,1.76,14.5,8.7,3.1,5.50,4.5,7.79,1.02
06698,万达商管,2024-04-28,48.00,45.20,50.80,0.89,100.00,50,2434.34,中信证券、摩根大通,中信证券、摩根大通、汇丰,280.0,5,45.8,0,1,95.0,5.0,0.0,商业地产,0,0,0,0,中国,2024-04-12,2024-04-18,46.80,-2.50,47.80,45.90,32567.45,4.2,48.00,47.15,-1.77,48.50,46.20,56789.01,7.6,-4.27,-9.32,-15.68,482.6,5.6,152.3,3.2,65.2,31.6,8.9,68.3,0.5,128.5,35.6,82.3,12.5,60.0,20.0,-2.15,-3.26,-0.78,-0.34,15.8,3.2,1.2,5.50,4.6,7.82,0.87
09626,极兔速递,2024-05-21,12.00,11.30,12.80,3.26,75.00,200,2424.24,摩根士丹利、中金,摩根士丹利、中金、招银国际,35.6,2,18.5,1,1,85.0,15.0,0.5,物流,1,0,0,0,开曼群岛,2024-05-07,2024-05-10,12.30,2.50,12.80,11.95,9876.54,10.2,12.20,12.65,5.42,13.10,12.10,23456.78,15.8,7.83,12.45,9.67,72.3,45.2,-12.6,-35.8,28.5,-17.4,-3.2,58.6,6.2,-8.7,32.4,67.8,22.4,35.0,40.0,0.76,1.25,1.45,2.13,13.8,10.2,4.5,5.25,4.3,7.81,0.93
02291,茶百道,2024-06-19,17.50,16.20,18.80,8.92,35.00,200,3555.55,中金、花旗,中金、花旗、海通国际,23.4,3,21.3,1,1,80.0,20.0,0.0,消费,0,0,0,0,开曼群岛,2024-06-05,2024-06-10,18.20,4.00,18.80,17.80,7654.32,12.5,17.80,18.95,8.29,19.30,17.65,19876.54,18.7,12.57,18.29,22.43,52.4,36.8,9.5,42.7,55.8,18.1,22.3,42.6,1.8,7.8,45.8,76.2,28.7,30.0,45.0,1.34,2.67,0.67,0.92,12.6,15.3,12.8,5.25,4.1,7.80,1.15
09866,讯飞医疗,2024-07-10,34.80,32.50,37.00,15.67,20.00,100,3494.95,摩根士丹利、华泰国际,摩根士丹利、华泰、中信,52.2,4,28.9,1,1,75.0,25.0,1.0,医疗科技,1,0,1,0,开曼群岛,2024-06-26,2024-07-02,36.50,4.89,37.80,35.80,18765.43,15.6,35.80,37.65,8.19,39.20,35.50,45678.90,21.4,10.23,15.78,21.34,28.7,56.3,-8.9,-21.5,68.2,-31.0,-11.5,52.3,25.6,-6.7,52.1,68.9,21.3,40.0,35.0,2.45,3.78,1.23,1.78,13.4,16.7,18.6,5.00,3.9,7.79,1.28
02485,蜜雪冰城,2024-08-18,19.80,18.50,21.00,22.34,15.00,200,3979.80,高盛、中信建投,高盛、中信建投、招银,63.4,3,25.4,1,1,70.0,30.0,0.5,消费,0,0,0,0,开曼群岛,2024-08-02,2024-08-07,20.80,5.05,21.50,20.20,25678.90,17.8,20.50,21.95,10.86,22.80,20.30,67890.12,27.5,15.67,22.45,28.76,135.8,32.4,28.9,56.2,58.5,21.3,25.8,48.6,2.3,18.5,38.7,72.4,32.6,25.0,50.0,0.98,1.45,0.78,2.05,11.8,18.2,22.3,5.00,3.8,7.80,1.32
09699,哪吒汽车,2024-09-25,39.50,36.80,42.20,7.89,30.00,100,3989.90,中金、摩根大通,中金、摩根大通、美银,79.0,5,38.6,0,1,85.0,15.0,0.0,新能源汽车,1,1,0,0,开曼群岛,2024-09-10,2024-09-16,39.20,-0.76,40.50,38.50,18765.43,10.5,40.20,38.75,-1.90,41.50,37.80,34567.89,13.7,-5.32,-12.45,-18.76,185.6,55.7,-62.3,-45.8,18.5,-33.6,-25.4,72.5,8.7,-42.3,26.8,65.7,18.4,55.0,25.0,-1.24,-4.78,-1.25,-2.35,16.2,6.8,9.8,5.25,4.0,7.81,1.17
02566,猿辅导,2024-10-30,22.60,20.80,24.50,18.76,18.00,100,2272.73,高盛、摩根士丹利,高盛、大摩、瑞银,45.2,2,22.1,1,1,75.0,25.0,0.0,教育,1,0,0,0,开曼群岛,2024-10-15,2024-10-21,23.50,3.98,24.20,23.00,13456.78,12.8,23.20,24.85,9.96,25.60,23.00,23456.78,16.5,12.34,18.76,24.56,68.7,42.3,8.7,28.5,56.2,12.7,18.4,38.7,12.5,5.6,42.5,78.6,25.8,35.0,40.0,1.56,2.45,1.46,1.23,14.7,12.6,17.2,5.25,4.1,7.82,1.09
09968,小红书,2024-12-12,68.00,62.50,73.50,45.23,8.00,50,3459.60,摩根士丹利、高盛,大摩、高盛、中信证券,204.0,6,42.3,1,1,70.0,30.0,1.0,互联网,1,0,0,0,开曼群岛,2024-11-27,2024-12-03,70.50,3.68,72.80,69.80,87654.32,18.9,71.50,75.60,11.18,78.20,70.80,123456.78,24.6,15.78,23.45,31.24,95.6,75.3,16.5,45.2,62.8,17.3,16.2,45.3,8.9,12.3,41.2,72.5,29.6,30.0,45.0,2.34,3.67,1.24,2.78,12.9,20.5,35.6,5.50,4.2,7.80,1.25
